Source_Node_Index,Target_Node_Index,Source_MemberID,Target_MemberID
1011,1405,15070125,96831381
3017,3249,21181910,16183509
1280,2761,38807237,84545400
1156,776,8030237,54165321
2678,2736,74589953,26754623
1508,935,82057926,82057926
409,3178,41318743,39711886
2439,3659,34492720,34492720
2582,1227,98631439,98631439
2563,985,63906119,12270176
4015,3704,39075131,80712137
1516,1698,22408568,22408568
4360,4907,57611112,57611112
771,790,81121807,57839856
4854,1241,43777613,27569074
4716,3522,96586510,96586510
2685,3836,28940878,28940878
1164,492,18660372,18660372
4901,535,59904097,59904097
1408,1081,68562779,68562779
245,222,78352630,20660827
105,1905,98623137,98623137
2173,655,91220018,91220018
3141,3298,99751804,99751804
1680,2708,20767183,58152404
2614,2320,40376633,40376633
2610,2615,55281996,60796679
1082,1069,1970790,5972310
409,37,41318743,11938284
4051,4687,59322962,59322962
1417,1022,89420525,89420525
1895,1586,59249047,60136662
2714,2443,31458464,66218307
4216,2539,18057896,38061764
2994,2726,58965981,96790164
2784,2916,18784531,17017636
1836,4160,12533082,12533082
1201,1434,93208898,14432961
2479,3034,42256386,28800484
110,118,1966030,92273427
555,505,3917957,29995898
2883,4615,58423775,58423775
104,569,76859445,76859445
548,3498,62774896,62774896
2621,3383,54737563,4171362
2540,1243,4152958,52246533
2003,2058,61360005,96723417
2906,3552,16989025,16989025
1497,1432,99751804,99751804
1460,1550,76470318,76470318
1704,2176,26638497,90480245
2543,2682,41426298,41426298
1548,1599,35343921,52745562
3855,2883,58965981,58423775
2544,3284,16488584,16488584
4557,4121,44942695,44942695
3624,4182,55580846,55580846
2509,2280,21585717,21585717
3956,4426,11278444,32193999
1116,1861,98913094,98913094
1007,3123,36849596,12051656
2442,1997,56525099,56525099
322,805,22493143,33689470
160,477,2308322,2308322
4234,3589,58940498,70893475
2201,2285,2957836,77510048
3254,3043,90597078,31845845
2665,2419,25163028,25163028
1740,2829,6556365,71808865
2060,2016,825842,83227007
1903,3530,82638324,82638324
2001,389,33671724,55953450
4024,4129,891986,891986
743,690,37031481,64662850
2262,2416,29939509,18836855
2308,2532,62491214,62491214
2239,712,84545400,84545400
4221,4185,65638900,65638900
3104,3405,67379783,67379783
1580,746,88204774,88204774
1540,1613,79443246,82769084
3570,4080,8147980,69590043
3383,992,4171362,4171362
3438,891,34860580,34860580
957,245,78352630,78352630
3343,4037,91220018,91220018
1035,1333,66691366,75498715
2107,2370,30333839,30333839
4545,4137,62998708,19548796
1893,3313,72290931,90384658
2677,3166,43735288,53691700
3022,4103,16644303,16644303
291,542,95036345,95036345
3713,3728,11333535,84260299
1034,2801,47496728,47496728
3005,1655,78352630,78352630
1903,3893,82638324,64215660
2452,2903,17323704,17323704
258,3748,35457831,35457831
